p_university_name,p_total,p_asian,p_african_american,p_hispanic,p_white,p_other
Auburn University,25912,601,1886,599,20855,1971
Boston College,14317,1144,575,1238,8299,3061
Boston University,32112,3448,1190,2419,14642,10413
Brandeis University,5945,582,275,323,2643,2122
Brown University,9181,1099,550,894,3886,2752
California Institute of Technology,2209,580,27,173,743,686
Carnegie Mellon University,12587,2071,402,574,3747,5793
Case Western Reserve University,10771,1543,563,444,5379,2842
Clemson University,21857,389,1347,593,16876,2652
Colorado School of Mines,5962,231,52,417,4213,1049
Cornell University,21679,3129,1059,1994,8599,6898
Creighton University,8236,742,330,472,5961,731
Dartmouth College,6298,775,341,446,2968,1768
Drexel University,26359,3083,2055,1424,14559,5238
Duke University,15856,2268,1156,797,7787,3848
Emory University,14769,2281,1474,874,6635,3505
Florida Institute of Technology,6393,174,533,359,2406,2921
Florida International University,49610,1434,5977,31211,5683,5305
Florida State University,41226,1029,3377,6594,26466,3760
George Mason University,33729,5001,3153,3420,16371,5784
Georgia State University,32556,3386,11875,2651,10788,3856
Illinois Institute of Technology,7898,497,292,600,1995,4514
Iowa State University,34435,940,891,1451,24843,6310
Johns Hopkins University,21372,2919,1419,1498,10176,5360
Kansas State University,24766,381,954,1419,18549,3463
Lehigh University,7119,479,239,475,4309,1617
Massachusetts Institute of Technology,11319,1832,344,1087,3748,4308
Medical University of South Carolina,2898,170,240,103,2144,241
Michigan State University,50081,2214,3196,1878,33115,9678
Michigan Technological University,7099,82,95,117,5301,1504
Missouri University of Science and Technology,8640,226,290,256,5832,2036
New Jersey Institute of Technology,10646,1901,899,1749,2934,3163
New York University,49274,7314,2374,4267,17326,17993
Northeastern University,19798,1753,624,1103,8828,7490
Northwestern University,21554,2865,1058,1662,10394,5575
Oakland University,20519,955,1601,565,15136,2262
Old Dominion University,24932,995,5980,1578,13037,3342
Oregon State University,28886,1901,395,2101,18505,5984
Portland State University,27696,2024,886,2664,16493,5629
Princeton University,8088,1282,474,571,3494,2267
Rensselaer Polytechnic Institute,6835,629,182,439,3913,1672
Rice University,6621,1102,340,746,2474,1959
Rochester Institute of Technology,16310,927,670,899,9073,4741
Rush University,2457,337,159,196,1645,120
Saint Louis University,17052,1111,1091,567,12065,2218
San Diego State University,33483,4183,1162,9783,11723,6632
Southern Methodist University,11272,671,669,1172,6812,1948
Stanford University,16963,2630,633,1749,6218,5733
Syracuse University,21492,1354,1656,1855,11258,5369
Temple University,37485,3819,4466,1987,20664,6549
Tufts University,10907,1353,368,594,5913,2679
University of Arizona,42236,2392,1402,9405,22050,6987
University of Chicago,15097,1923,634,928,6440,5172
University of Connecticut,26541,2320,1353,1928,15600,5340
University of Delaware,22680,1018,1232,1461,16007,2962
University of Florida,49459,3501,3151,8127,27317,7363
University of Georgia,35197,2859,2805,1637,24567,3329
University of Houston,40914,8118,4173,10994,11855,5774
University of Idaho,11702,161,142,925,8853,1621
University of Illinois at Chicago,27969,5229,2194,5435,11211,3900
University of Iowa,29970,1056,853,1730,20118,6213
University of Kansas,27180,1081,1133,1554,19137,4275
University of Kentucky,29203,807,1989,1031,21777,3599
University of Miami,16674,953,1169,3526,6776,4250
University of Nebraska Medical Center,3696,175,61,122,2914,424
University of North Carolina at Chapel Hill,29135,2410,2304,1895,18549,3977
University of North Carolina at Greensboro,18647,772,4558,1128,10370,1819
University of Notre Dame,12179,573,376,1139,7791,2300
University of Oregon,24096,1280,482,2042,15039,5253
University of Pennsylvania,24806,3717,1483,1799,11248,6559
University of Rochester,11060,915,491,533,5315,3806
University of Southern California,42453,7696,2238,5286,13922,13311
University of Southern Mississippi,14792,172,4033,457,9308,822
University of Toledo,20626,594,2455,836,13798,2943
University of Utah,31515,1590,401,2718,21498,5308
University of Vermont,12856,388,166,533,10329,1440
University of Wyoming,12820,171,121,749,9506,2273
Vanderbilt University,12686,966,932,810,7653,2325
Wake Forest University,7788,331,647,433,5554,823
Wayne State University,27578,2057,4881,983,15004,4653
Yale University,12336,1581,675,939,5906,3235
Yeshiva University,6348,289,144,199,4092,1624
